Candidate;Date;Headline;Site
trump;2016-10-01;John Sununu reverses position, endorses Trump;Fox News
trump;2016-10-01;Campaign adviser: Trump wins the debate over the economy;Fox News
trump;2016-10-01;Women who know Trump defend the GOP candidate's character;Fox News
trump;2016-10-01;Trump's economic agenda: Cutting taxes for job creation;Fox News
trump;2016-10-01;Presidential campaign spiraling downward with talk of sex tapes;Fox News
trump;2016-10-01;Krauthammer: Trump needs to stop falling for traps;Fox News
trump;2016-10-01;Ben Carson reacts to Trump's attacks on former Miss Universe;Fox News
trump;2016-10-01;Trump looks to get past tweet frenzy with stop in swing state Pennsylvania;Fox News
trump;2016-10-01;Kurtz on Trump's Miss Universe dust up: 'He can't seem to let go of it';Fox News
trump;2016-10-01;Mic Dropped: Debate commission admits 'issues' with Trump’s audio;Fox News
trump;2016-10-02;"Conway defends Trump attacks; Bill Clinton's past misconduct";Fox News
trump;2016-10-02;What would voters tell Trump ahead of the next debate?;Fox News
trump;2016-10-02;Watters: Trump must get back on offense at next debate;Fox News
trump;2016-10-02;Trump responds to leaked IRS return, says he is best suited to fix country's 'complex tax laws';Fox News
trump;2016-10-02;Christie defends Trump's leaked tax return, says nothing illegal, 'no apologies';Fox News
trump;2016-10-02;Trump hits Clinton marriage;Fox News
trump;2016-10-02;Trump supporters defend GOP nominee after tax return leaked;Fox News
trump;2016-10-02;Judith Miller: Leaked tax return clearly going to hurt Trump;Fox News
trump;2016-10-02;Former Trump International VP defends Donald;Fox News
trump;2016-10-02;Comparing the economic agendas of Trump, Clinton;Fox News
trump;2016-10-03;Donald Trump: I have brilliantly used the tax laws;Fox News
trump;2016-10-03;Trump working hard to escape controversy over tax returns;Fox News
trump;2016-10-03;Trump surrogates praise Trump's knowledge of tax code;Fox News
trump;2016-10-03;Trump surrogates argue tax leak shows he is a 'genius';Fox News
trump;2016-10-03;The Trump/Kardashian hype;Fox News
trump;2016-10-04;Austrian presidential hopeful meets US Trump backer;Fox News
trump;2016-10-04;Trump campaign confident in Pence's debate preparation;Fox News
trump;2016-10-04;Thank you, Bill Clinton for endorsing Donald Trump;Fox News
trump;2016-10-04;Trump team says Kaine dodged debate questions, Clinton camp says Pence didn't want to defend Trump;Fox News
trump;2016-10-04;Trump campaigns in Arizona amid tax controversy;Fox News
trump;2016-10-05;Pence shows Trump how it's done;Fox News
trump;2016-10-05;Donald Trump campaigning in Nevada;Fox News
trump;2016-10-05;Kaine: Trump avoids taxes, doesnt support troops;Fox News
trump;2016-10-05;Sen. Tim Kaine says Donald Trump won't rebuild military because he did not pay taxes during 9/11;Fox News
trump;2016-10-05;Sen. Sessions: Trump is committed to ending the lawlessness;Fox News
trump;2016-10-06;Ryan to make first campaign appearance with Trump;Fox News
trump;2016-10-06;Meghan McCain blasts the 'Hollywood hysteria' over Trump;Fox News
trump;2016-10-06;Trump takes the heat for Nevada pronunciation;Fox News
trump;2016-10-06;Trump campaign: Expect more specifics at town hall debate;Fox News
trump;2016-10-06;Trump to Nevada Hispanics: ‘I’m going to help millions of Latinos trapped in poverty’;Fox News
trump;2016-10-07;Is Trump a media mastermind?;Fox News
trump;2016-10-07;Trump and Clinton silent amid hurricane Matthew?;Fox News
trump;2016-10-07;Leaked tape captures Trump in crude rant with TV host;Fox News
trump;2016-10-08;Utah Republicans out front in opposing Trump;Fox News
trump;2016-10-08;Donald Trump apologizes for controversial video remarks;Fox News
trump;2016-10-08;Trump campaign on defense as some in GOP withdraw support;Fox News
trump;2016-10-09;Covering the Trump crisis;Fox News
trump;2016-10-09;Trump previews his Clinton attacks on Twitter;Fox News
trump;2016-10-09;Does vulgar Trump tape matter to GOP voters, his supporters?;Fox News
trump;2016-10-10;Trump 'very embarrassed' over latest scandal;Fox News
trump;2016-10-10;Trump campaign manager: Critics on 'high horses';Fox News
trump;2016-10-10;Trump: You'd be in jail;Fox News
trump;2016-10-11;Is Trump falling too far behind?;Fox News
trump;2016-10-11;Trump on offense against Clinton ahead of final debate;Fox News
trump;2016-10-11;Is there still time for a Trump victory?;Fox News
trump;2016-10-12;Fox Flash: Mini-Trump;Fox News
trump;2016-10-12;Crowd goes wild over 'mini-Trump';Fox News
trump;2016-10-12;Donald Trump on taking 'shackles' off campaign;Fox News
trump;2016-10-13;Timing of the Trump video, accusers suspicious?;Fox News
trump;2016-10-13;Trump fights back after NY Times attack;Fox News
trump;2016-10-13;Multiple women accuse Donald Trump of groping;Fox News
trump;2016-10-14;Trump repudiates latest personal attacks;Fox News
trump;2016-10-14;Trump blames Mexican billionaire for harassment stories;Fox News
trump;2016-10-14;Trump blames groping claims on media, Clinton;Fox News
trump;2016-10-15;Donald Trump says allegations are 100% fabricated;Fox News
trump;2016-10-15;Never Trump' Republican: Voters are increasingly disgusted;Fox News
trump;2016-10-15;Trump campaign reports raising $2 million in September;Fox News
trump;2016-10-16;Trump spokeswoman rips media;Fox News
trump;2016-10-16;Miss USA 2005 defends Trump: He has always been respectful;Fox News
trump;2016-10-16;Gingrich: A disciplined Trump is a formidable opponent;Fox News
trump;2016-10-17;George Will: Trump has a point about rigged elections;Fox News
trump;2016-10-17;Donald Trump claims the presidential election is 'rigged';Fox News
trump;2016-10-17;Trump expands 'rigged election' claims to include polls;Fox News
trump;2016-10-18;Trump touts bold proposal to end corruption in Washington;Fox News
trump;2016-10-18;Michael Moore made surprise Donald Trump film;Fox News
trump;2016-10-18;Latest Fox News scorecard not a pretty picture for Trump;Fox News
trump;2016-10-19;Curt Schilling: Polls are underrepresenting Trump support;Fox News
trump;2016-10-19;Debate talk: How Trump can win;Fox News
trump;2016-10-19;One-on-one with Melania Trump in Trump Tower;Fox News
trump;2016-10-20;Trump couldn't resist;Fox News
trump;2016-10-20;Trump shines light on Clinton's women hypocrisy;Fox News
trump;2016-10-20;Trump campaign raises concerns over voter fraud;Fox News
trump;2016-10-21;Donald Trump explains his 'rigged system' claims;Fox News
trump;2016-10-21;Newt Gingrich: Gore, Trump and liberal hypocrisy;Fox News
trump;2016-10-21;Hillary Clinton works to tie Donald Trump to Putin's Russia;Fox News
trump;2016-10-22;NASCAR truck to display 'Trump 2016' logo;Fox News
trump;2016-10-22;Trump vows to sue accusers, says 'corrupt' media fabricating stories;Fox News
trump;2016-10-22;Fox News poll: Trump wins veterans by 17 points;Fox News
trump;2016-10-23;Press pummels Trump over debate;Fox News
trump;2016-10-23;Judith Miller: Women are responding to Trump by voting early;Fox News
trump;2016-10-23;Sean Spicer: Trump offered American voters a detailed plan;Fox News
trump;2016-10-24;Trump booed, media pounce;Fox News
trump;2016-10-24;Media's 'crazy' Trump talk;Fox News
trump;2016-10-24;Press pummels Trump over debate;Fox News
trump;2016-10-25;Trump acknowledges 'Blacks for Trump' supporters;Fox News
trump;2016-10-25;"Trump: 'No interest' in Trump TV; campaign debuts show";Fox News
trump;2016-10-25;Trump: I think I'm winning;Fox News
trump;2016-10-26;Is attacking the media a winning strategy for Trump?;Fox News
trump;2016-10-26;Donald Trump: I will be your greatest champion;Fox News
trump;2016-10-26;Trump hits Clinton on WikiLeaks claims;Fox News
trump;2016-10-27;Trump: 'We should cancel the election';Fox News
trump;2016-10-27;Fox News poll: Trump gaining with independents;Fox News
trump;2016-10-27;Breaking down difference in media coverage of Trump, Clinton;Fox News
trump;2016-10-28;Trump, Pence talk Clinton email scandal;Fox News
trump;2016-10-28;Poll shows Trump leads Clinton among independents;Fox News
trump;2016-10-28;Donald Trump seizes on news of FBI's new Clinton probe;Fox News
trump;2016-10-29;Trump campaign feels the momentum shifting;Fox News
trump;2016-10-29;First graders share their thoughts on Trump and Clinton;Fox News
trump;2016-10-29;Trump campaign adviser: Trajectory of the race has changed;Fox News
trump;2016-10-30;Lara Trump on 'Women for Trump' movement;Fox News
trump;2016-10-30;Mainstream media says Trump fans are hurting their feelings;Fox News
trump;2016-10-30;Mark Cuban, Trump nemesis;Fox News
trump;2016-10-31;Trump expands media indictment;Fox News
trump;2016-10-31;Could Donald Trump sue NBC?;Fox News
trump;2016-10-31;Trump campaign revitalized with Clinton probe;Fox News
trump;2016-11-01;Trump has momentum, but can he win?;Fox News
trump;2016-11-01;Perfect event' for the Trump campaign;Fox News
trump;2016-11-01;After Trump, an evangelical examination of conscience?;Fox News
trump;2016-11-02;Did Trump ghostwrite erotic novel 'Trump Tower'?;Fox News
trump;2016-11-02;How Donald Trump could defeat Hillary Clinton;Fox News
trump;2016-11-02;Clinton goes after Trump on taxes;Fox News
trump;2016-11-03;Daniel Henninger: Trump the Opera;Fox News
trump;2016-11-03;Kurtz: Why the pundits still underestimate Trump;Fox News
trump;2016-11-03;McConnell gives strongest pro-Trump statement yet;Fox News
trump;2016-11-04;Why military veterans stand behind Donald Trump;Fox News
trump;2016-11-04;Does Trump have enough time to pull off a victory?;Fox News
trump;2016-11-04;Clinton vs. Trump: Closing arguments;Fox News
trump;2016-11-05;Trump announces plan to visit 'Democrat strongholds';Fox News
trump;2016-11-05;The forgotten women who are supporting Trump;Fox News
trump;2016-11-05;Clinton and Trump make final push to win battleground states;Fox News
trump;2016-11-06;Lara Trump: Women are so excited to vote Trump;Fox News
trump;2016-11-06;Pundits say Trump could win;Fox News
trump;2016-11-06;Donald Trump shows his softer side;Fox News
trump;2016-11-07;Sarah Palin: If Trump wins, America wins;Fox News
trump;2016-11-07;Why voters trust Trump with money issues;Fox News
trump;2016-11-07;Krauthammer: Donald Trump will be the power broker;Fox News
trump;2016-11-08;Trump wins presidency, defeats Clinton in historic election upset;Fox News
